#options: 480x320 fps=25/1 timebase=1/25 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=30.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:35 out:35 type:P dur:2 cpbdur:2 q:35.40 aq:31.13 tex:2896 mv:471 misc:361 imb:1 pmb:89 smb:510 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:35.40 aq:31.42 tex:3713 mv:576 misc:367 imb:2 pmb:104 smb:494 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:35.40 aq:31.15 tex:2675 mv:450 misc:355 imb:2 pmb:86 smb:512 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:35.40 aq:31.51 tex:2373 mv:358 misc:357 imb:0 pmb:70 smb:530 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:35.40 aq:31.22 tex:2404 mv:447 misc:373 imb:1 pmb:83 smb:516 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:35.40 aq:31.93 tex:2956 mv:501 misc:343 imb:2 pmb:87 smb:511 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:35.40 aq:31.77 tex:2480 mv:416 misc:384 imb:0 pmb:84 smb:516 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:35.40 aq:31.17 tex:1505 mv:311 misc:296 imb:0 pmb:57 smb:543 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:35.40 aq:31.30 tex:2891 mv:558 misc:367 imb:0 pmb:98 smb:502 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:35.40 aq:32.48 tex:1789 mv:328 misc:323 imb:2 pmb:58 smb:540 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:35.40 aq:32.31 tex:1701 mv:340 misc:351 imb:0 pmb:68 smb:532 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:35.40 aq:32.81 tex:1263 mv:315 misc:302 imb:1 pmb:53 smb:546 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:35.40 aq:33.66 tex:1814 mv:396 misc:334 imb:3 pmb:66 smb:531 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:35.40 aq:33.75 tex:1575 mv:396 misc:341 imb:3 pmb:68 smb:529 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:35.40 aq:31.90 tex:1389 mv:359 misc:388 imb:4 pmb:69 smb:527 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:35.40 aq:35.06 tex:18048 mv:3062 misc:642 imb:135 pmb:286 smb:179 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:35.40 aq:30.82 tex:87598 mv:6486 misc:644 imb:464 pmb:86 smb:50 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:35.40 aq:32.70 tex:3376 mv:1042 misc:486 imb:2 pmb:162 smb:436 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:35.40 aq:33.22 tex:5082 mv:1419 misc:547 imb:3 pmb:203 smb:394 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:35.40 aq:32.23 tex:7105 mv:1500 misc:579 imb:3 pmb:240 smb:357 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:35.40 aq:34.06 tex:5214 mv:1213 misc:533 imb:2 pmb:197 smb:401 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:35.40 aq:30.20 tex:24460 mv:2590 misc:694 imb:35 pmb:428 smb:137 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:35.40 aq:31.74 tex:5243 mv:1430 misc:575 imb:8 pmb:224 smb:368 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:35.40 aq:31.69 tex:4803 mv:1432 misc:541 imb:2 pmb:208 smb:390 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:35.40 aq:33.48 tex:4665 mv:1267 misc:516 imb:1 pmb:209 smb:390 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:35.40 aq:32.64 tex:3723 mv:1347 misc:554 imb:3 pmb:201 smb:396 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:35.40 aq:31.96 tex:5288 mv:1730 misc:582 imb:7 pmb:246 smb:347 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:35.40 aq:32.46 tex:6801 mv:1676 misc:563 imb:5 pmb:264 smb:331 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:35.40 aq:33.03 tex:3531 mv:1281 misc:556 imb:7 pmb:191 smb:402 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:35.40 aq:33.76 tex:4797 mv:1770 misc:545 imb:4 pmb:250 smb:346 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:35.40 aq:33.10 tex:5551 mv:1546 misc:551 imb:5 pmb:232 smb:363 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:35.40 aq:32.69 tex:5838 mv:1732 misc:550 imb:5 pmb:246 smb:349 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:35.40 aq:33.62 tex:3445 mv:1163 misc:512 imb:2 pmb:181 smb:417 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:35.40 aq:33.15 tex:5676 mv:1669 misc:535 imb:4 pmb:231 smb:365 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:35.40 aq:33.18 tex:6318 mv:1618 misc:544 imb:3 pmb:252 smb:345 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:35.40 aq:34.05 tex:3804 mv:1192 misc:532 imb:3 pmb:178 smb:419 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:35.40 aq:32.56 tex:5024 mv:1572 misc:532 imb:5 pmb:222 smb:373 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:35.40 aq:32.89 tex:5719 mv:1471 misc:554 imb:8 pmb:223 smb:369 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:35.40 aq:33.44 tex:3000 mv:1019 misc:493 imb:2 pmb:153 smb:445 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:35.40 aq:32.18 tex:4338 mv:1258 misc:532 imb:5 pmb:190 smb:405 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:35.40 aq:33.01 tex:5306 mv:1321 misc:549 imb:4 pmb:215 smb:381 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:35.40 aq:33.63 tex:2090 mv:897 misc:501 imb:0 pmb:153 smb:447 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:35.40 aq:31.71 tex:3136 mv:1121 misc:535 imb:0 pmb:191 smb:409 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:35.40 aq:32.64 tex:4599 mv:1367 misc:546 imb:5 pmb:221 smb:374 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:35.40 aq:33.70 tex:2947 mv:918 misc:463 imb:0 pmb:166 smb:434 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:35.40 aq:33.86 tex:4086 mv:1121 misc:513 imb:2 pmb:195 smb:403 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:35.40 aq:30.94 tex:14652 mv:2230 misc:662 imb:24 pmb:354 smb:222 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:35.40 aq:32.22 tex:2607 mv:704 misc:521 imb:1 pmb:144 smb:455 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:35.40 aq:32.28 tex:2333 mv:1002 misc:505 imb:1 pmb:170 smb:429 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:35.40 aq:32.87 tex:2513 mv:993 misc:502 imb:3 pmb:165 smb:432 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:35.40 aq:33.97 tex:2208 mv:1025 misc:503 imb:0 pmb:155 smb:445 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:35.40 aq:33.33 tex:3215 mv:1296 misc:521 imb:2 pmb:186 smb:412 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:35.40 aq:33.79 tex:3399 mv:1183 misc:506 imb:1 pmb:171 smb:428 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:35.40 aq:33.95 tex:2088 mv:1121 misc:511 imb:1 pmb:161 smb:438 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:35.40 aq:33.48 tex:3344 mv:1332 misc:540 imb:2 pmb:202 smb:396 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:35.40 aq:34.31 tex:4018 mv:1393 misc:525 imb:1 pmb:213 smb:386 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:35.40 aq:34.91 tex:2283 mv:1013 misc:480 imb:0 pmb:139 smb:461 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:35.40 aq:35.12 tex:2730 mv:1189 misc:513 imb:3 pmb:163 smb:434 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:35.40 aq:35.00 tex:2838 mv:1234 misc:512 imb:4 pmb:176 smb:420 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:35.40 aq:35.47 tex:1564 mv:958 misc:494 imb:3 pmb:132 smb:465 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:35.40 aq:33.83 tex:2286 mv:1205 misc:525 imb:4 pmb:161 smb:435 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:35.40 aq:35.45 tex:2108 mv:1166 misc:494 imb:7 pmb:150 smb:443 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:35.40 aq:38.98 tex:380 mv:426 misc:346 imb:0 pmb:56 smb:544 d:- ref:0 ;
